Q,"BB84 N = 1, Qx = Q","BB84 N = 1, Qx = Q(1-Q)","BB84 N = 2, Qx = Q","BB84 N = 2, Qx = Q(1-Q)","BB84 N = 3, Qx = Q","BB84 N = 3, Qx = Q(1-Q)",6 State N = 1,6 State N = 2,6 State N = 3,Our Qf=Qx=Q,"Our Qf=Qr=Q, Qx = 2Q(1-Q)","Qf=Q, Qr=2Q, Qx = Qf(1-Qr)+Qr(1-Qf)","Qf=2Q, Qr=Q, Qx = Qf(1-Qr)+Qr(1-Qf)","Qf=2Q, Qr=Q, Qx = (Qf+Qr)/2","Qf=Q, Qr=2Q, Qx = (Qf+Qr)/2"
0.218,,,,,0.016177,0.111388,,0.013525,0.260366,,,,,,
0.219,,,,,0.012275,0.107839,,0.008311,0.256084,,,,,,
0.22,,,,,0.008374,0.104285,,0.003093,0.251787,,,,,,
0.221,,,,,0.004474,0.100727,,,0.247473,,,,,,
0.222,,,,,0.000576,0.097163,,,0.243143,,,,,,
0.223,,,,,,0.093595,,,0.238796,,,,,,
0.224,,,,,,0.090022,,,0.234434,,,,,,
0.225,,,,,,0.086444,,,0.230055,,,,,,
0.226,,,,,,0.082862,,,0.22566,,,,,,
0.227,,,,,,0.079274,,,0.221248,,,,,,
0.228,,,,,,0.075682,,,0.21682,,,,,,
0.229,,,,,,0.072084,,,0.212375,,,,,,
0.23,,,,,,0.068482,,,0.207914,,,,,,
0.231,,,,,,0.064875,,,0.203436,,,,,,
0.232,,,,,,0.061263,,,0.198942,,,,,,
0.233,,,,,,0.057646,,,0.194431,,,,,,
0.234,,,,,,0.054024,,,0.189903,,,,,,
0.235,,,,,,0.050397,,,0.185359,,,,,,
0.236,,,,,,0.046765,,,0.180799,,,,,,
0.237,,,,,,0.043129,,,0.176221,,,,,,
0.238,,,,,,0.039487,,,0.171627,,,,,,
0.239,,,,,,0.035841,,,0.167016,,,,,,
0.24,,,,,,0.032189,,,0.162389,,,,,,
0.241,,,,,,0.028533,,,0.157744,,,,,,
0.242,,,,,,0.024872,,,0.153084,,,,,,
0.243,,,,,,0.021206,,,0.148406,,,,,,
0.244,,,,,,0.017535,,,0.143711,,,,,,
0.245,,,,,,0.01386,,,0.139,,,,,,
0.246,,,,,,0.01018,,,0.134272,,,,,,
0.247,,,,,,0.006494,,,0.129528,,,,,,
0.248,,,,,,0.002805,,,0.124766,,,,,,
0.249,,,,,,,,,0.119988,,,,,,
0.25,,,,,,,,,0.115194,,,,,,
0.251,,,,,,,,,0.110382,,,,,,
0.252,,,,,,,,,0.105554,,,,,,
0.253,,,,,,,,,0.100709,,,,,,
0.254,,,,,,,,,0.095848,,,,,,
0.255,,,,,,,,,0.09097,,,,,,
0.256,,,,,,,,,0.086075,,,,,,
0.257,,,,,,,,,0.081164,,,,,,
0.258,,,,,,,,,0.076236,,,,,,
0.259,,,,,,,,,0.071292,,,,,,
0.26,,,,,,,,,0.066331,,,,,,
0.261,,,,,,,,,0.061354,,,,,,
0.262,,,,,,,,,0.056361,,,,,,
0.263,,,,,,,,,0.051351,,,,,,
0.264,,,,,,,,,0.046325,,,,,,
0.265,,,,,,,,,0.041283,,,,,,
0.266,,,,,,,,,0.036225,,,,,,
0.267,,,,,,,,,0.03115,,,,,,
0.268,,,,,,,,,0.026059,,,,,,
0.269,,,,,,,,,0.020953,,,,,,
0.27,,,,,,,,,0.01583,,,,,,
0.271,,,,,,,,,0.010692,,,,,,
0.272,,,,,,,,,0.005538,,,,,,
0.273,,,,,,,,,0.000368,,,,,,
